Date,Site,Location,Patch ,Quad,N.ostrina,N.canaliculata,Notes,Recorder,DataEntryBy
08.19.13,YB,Natural Bridge,E,7,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,E,8,1,2,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,E,9,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,F,9,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,1,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,3,2,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,5,2,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,6,0,1,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,7,1,1,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,G,9,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,1,3,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,2,7,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,5,3,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,6,4,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,7,2,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,8,33,10,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AB,9,15,1,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,8,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AC,9,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,2,2,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,5,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AD,9,0,1,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,1,3,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,7,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AE,9,3,1,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AF,9,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,3,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,4,2,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,6,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,7,4,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,8,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,AG,9,2,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,2,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,3,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,6,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BB,9,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,1,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,2,1,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,3,3,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,4,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,5,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,6,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,7,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,8,0,0,NA,KEC,IsaacS
08.19.13,YB,Natural Bridge,BC,9,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,1,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,2,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,3,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,4,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,5,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,6,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,7,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,8,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BD,9,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,1,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,2,3,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,3,2,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,4,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,5,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,6,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,7,1,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,8,1,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BE,9,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,1,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,2,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,3,1,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,4,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,5,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,6,0,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,7,2,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,8,1,0,NA,KEC,IsaacS
08.20.13,YB,Natural Bridge,BF,9,2,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,A,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,2,0,1,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,4,0,1,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,5,0,5,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,6,0,3,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,7,0,38,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,8,0,5,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,B,9,1,24,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,C,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,D,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,4,2,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,E,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,3,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,5,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,F,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,1,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,2,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,3,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,5,0,1,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,6,0,1,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,G,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,5,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,6,0,1,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,8,0,6,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AB,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AC,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,5,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AD,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,6,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AE,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AF,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,1,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,7,2,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,AG,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BB,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BC,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,4,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,5,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BD,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,1,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,2,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,5,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,7,1,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BE,9,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,1,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,2,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,3,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,4,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,5,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,6,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,7,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,8,0,0,NA,KEC,IsaacS
09.16.13,YB,Natural Bridge,BF,9,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,1,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,2,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,3,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,4,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,5,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,6,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,7,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,8,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,A,9,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,1,0,1,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,2,0,2,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,3,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,4,0,3,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,5,0,14,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,6,0,2,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,7,1,53,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,8,0,22,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,B,9,0,38,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,1,0,1,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,2,0,1,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,3,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,4,0,1,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,5,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,6,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,7,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,8,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,C,9,0,1,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,1,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,2,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,3,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,4,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,5,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,6,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,7,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,8,0,0,NA,KEC,IsaacS
10.07.13,YB,Natural Bridge,D,9,0,0,NA,KEC,IsaacS
